protocol,β0 (Intercept),β1 (T),β2 (X),β3 (X_T),β4 (t),β5 (t_X),δ1 (MCt),δ2 (Fear_Greed_Index),δ3 (S&P 500),p_value (X),p_value (X_T),p_value (MCt),p_value (Fear_Greed_Index),p_value (S&P 500),ARIMA_AR,ARIMA_MA,airdrop_date
Izumi,0.13677444162972074,-2.1316549615175617,-0.0017779646851302598,0.057133221029632586,2.108352729003812,0.0020163157942192367,-0.4898537254954718,0.0014484257678467395,-4.247171249909485,0.017887556626216716,0.009393353120366585,0.752169765381711,0.8636916981308379,0.5658351237077642,0.5243930214286847,-0.2665733589441717,2024-02-06
jupiter,-0.1686527572438017,2.628697063391897,0.002529975358624424,-0.07988916374040955,-2.5995384111660655,-0.0014599276270463868,4.874802912798515,0.001181632483916617,-4.251140574801198,0.00015039586882044728,4.551264289671504e-05,0.00025696036444790196,0.8810448416587295,0.4583019448662953,0.6440620987681166,-0.05408459730066701,2024-01-31
kyberswap,0.04873048370364996,-0.7617060196315677,-0.0002467352148281224,0.01194170997330389,0.7489389751816082,0.004292918313541866,0.589885959325823,0.0006156297229528152,-2.7769664634201945,0.7658957085491354,0.6163770166999873,0.8303440255165904,0.9684193548235,0.5735552647820413,0.12161277575002802,0.4690148193929134,2023-09-06
