protocol,α0 or β0 or γ0 (Intercept),α1 or β1 or γ1 (T),α2 or β2 or γ2 (X),α3 or β3 or γ3 (X*T),α4 or β4 or γ4 (t),α5 or β5 or γ5 (t*X),δ1 (MCt),δ2 (Fear_Greed_Index),S&P 500,p_value (X),p_value (X*T),p_value (MCt),p_value (Fear_Greed_Index),p_value (S&P 500),ARIMA_AR,ARIMA_MA,airdrop_date
phaver,73.00782873003827,-1128.3229422295321,-0.8794143572487263,118.71442663295582,1134.9204296020891,91.45258155950228,-1.4740745390157132e-09,-14.698620256505343,-4.688959253722134,0.46070702092281757,0.00026356027525365123,0.203719029597097,0.32466987360272703,0.0029635365494766796,0.15306513468152702,0.35892069805108573,2024-05-08
Zora,356.31700972075146,-5351.159876780668,-13.673500625427057,538.0528701307865,5694.671717452364,114.17435072765883,-1.5077068958525388e-08,209.14134938027695,-26.167367189370793,0.22603967515731965,0.05824006284663372,0.07681178907321773,0.3735240838513495,0.19709977248979232,0.0013457053483385535,0.33995767982415764,2024-03-06
lens,-23.130269857984466,345.63048697623776,-0.11185424717677744,12.863647490695927,-371.40820052862836,9.396165828019864,-5.574350977371098e-10,19.789557110199457,2.3601736031855376,0.8163428719643441,0.30108964789427944,0.12236315991639966,0.04987026101230399,0.0039254235210489045,0.5608472605841555,-0.9995052762174964,2024-03-10
