protocol,γ0 (Intercept),γ1 (T),γ2 (X),γ3 (X_T),γ4 (t),γ5 (t_X),δ1 (MCt),δ2 (Fear_Greed_Index),δ3 (S&P 500),p_value (X),p_value (X_T),p_value (MCt),p_value (Fear_Greed_Index),p_value (S&P 500),ARIMA_AR,ARIMA_MA,airdrop_date
phaver,73.00699231974804,-1128.3099245911483,-0.8794089699591092,118.71420333994367,1134.907518513675,91.45252527352643,-1.47430869788816e-09,-14.698854188073355,-4.688945170895244,0.46070888268319143,0.0002635600374899437,0.20364566492062508,0.3246613064129229,0.0029635643314274668,0.1530675214030632,0.35892822140618774,2024-05-08
Zora,356.3168287259428,-5351.157090669766,-13.673501102659806,538.0528919789714,5694.668892721982,114.17435778571877,-1.507711311847262e-08,209.1414474750627,-26.16736274350673,0.22603964645637933,0.05824004621580016,0.07681066125734988,0.3735238481820642,0.19709983517354718,0.0013459706712087426,0.3399574459704992,2024-03-06
lens,-23.130990499547917,345.6421789724883,-0.11170740691955344,12.858447300385587,-371.4188484310354,9.395517685841517,-5.573930630567555e-10,19.790412017649267,2.3602607236260824,0.8165778113758604,0.3012785185194908,0.12239229974537329,0.0498585846358323,0.003923871324502663,0.5607589878539684,-0.9991890142698391,2024-03-10
