protocol,β0 (Intercept),β1 (T),β2 (X),β3 (X_T),β4 (t),β5 (t_X),δ1 (MCt),δ2 (Fear_Greed_Index),δ3 (S&P 500),p_value (X),p_value (X_T),p_value (MCt),p_value (Fear_Greed_Index),p_value (S&P 500),ARIMA_AR,ARIMA_MA,airdrop_date
Izumi,-153683.54930967418,2022664.4955648445,-45455.676719186216,1441304.9582903383,-2741528.002919455,32178.979986872437,-2.5694743014161802e-05,221554.74101909003,23500.950057393587,0.0030805318137443628,0.001164063519789169,0.08882511043459591,0.16115325479887332,0.40024230635877533,0.8318435454825486,-0.9998526846094532,2024-02-06
jupiter,2734361.7465435304,-33737686.58253646,1618178.265493913,-49187822.278098784,51027563.43183166,975703.9522038857,0.002014358545647186,-2023063.7614522576,-840983.1667550004,4.0839348959990495e-05,1.7601110891726475e-05,2.4260318827096886e-06,0.6525148601359834,0.20976808619190035,0.6778469565000368,-0.11168956734712017,2024-01-31
kyberswap,211613.94740231807,-3281103.238899339,8477.062316303593,-216261.4168837804,3278932.0003748583,46527.514920671325,3.8928698371306345e-05,-16463.716557537206,-28609.20294858855,0.5988661282054516,0.6414245940925585,0.42944327691535944,0.956624053575468,0.1919667062602807,0.058685173480234075,0.33827567015591514,2023-09-06
