Date,DAU
26/05/2024,744
27/05/2024,638
28/05/2024,740
29/05/2024,727
30/05/2024,1157
31/05/2024,851
01/06/2024,907
02/06/2024,682
03/06/2024,709
04/06/2024,976
05/06/2024,619
06/06/2024,831
07/06/2024,1144
08/06/2024,1048
09/06/2024,545
10/06/2024,452
11/06/2024,639
12/06/2024,618
13/06/2024,1248
14/06/2024,2068
15/06/2024,1334
16/06/2024,1494
17/06/2024,1190
18/06/2024,1293
19/06/2024,955
20/06/2024,1287
21/06/2024,1219
22/06/2024,1419
23/06/2024,1677
24/06/2024,1155
25/06/2024,1172
26/06/2024,1200
27/06/2024,1625
28/06/2024,1321
29/06/2024,1366
30/06/2024,1116
01/07/2024,913
02/07/2024,1056
03/07/2024,917
04/07/2024,1193
05/07/2024,1510
06/07/2024,1306
07/07/2024,1570
08/07/2024,1721
09/07/2024,791
10/07/2024,1440
11/07/2024,1893
12/07/2024,1681
13/07/2024,1849
14/07/2024,1931
15/07/2024,2276
16/07/2024,1611
17/07/2024,1461
18/07/2024,2023
19/07/2024,2029
20/07/2024,1421
21/07/2024,1304
22/07/2024,1323
23/07/2024,1390
24/07/2024,1312
25/07/2024,811
26/07/2024,1346
27/07/2024,2227
28/07/2024,1993
29/07/2024,1972
30/07/2024,2428
31/07/2024,2593
01/08/2024,2559
02/08/2024,2306
